epoch,train_loss,train_acc,train_f1_macro,train_cls_loss,train_recon_loss,train_kl_loss,train_distill_loss,train_teacher_count,epoch_time_sec,lr,batch_size,train_samples_this_epoch,train_steps_this_epoch,val_loss,val_acc,val_f1_macro,val_teacher_argmax_accuracy,val_distill_loss,val_teacher_count
1,0.0642505987934517,nan,nan,0.0,0.13695553778513764,3.0011714883064955,0.0,0,439.09965658187866,0.0003,128,113920,890,0.02938327836562109,nan,nan,nan,0.0,0
2,0.04126727090876424,nan,nan,0.0,0.052648795546775456,2.8105072586723927,0.0,0,428.44644713401794,0.0003,128,113920,890,0.028824422243273917,nan,nan,nan,0.0,0
3,0.04047149906165144,nan,nan,0.0,0.049954389475202296,2.7982902325940935,0.0,0,427.76078248023987,0.0003,128,113920,890,0.02884244118082782,nan,nan,nan,0.0,0
4,0.04014082465613826,nan,nan,0.0,0.048883858134739853,2.7919860740725913,0.0,0,427.60853004455566,0.0003,128,113920,890,0.028720031832300905,nan,nan,nan,0.0,0
5,0.039940764462010246,nan,nan,0.0,0.04823789452568868,2.7881291432327098,0.0,0,428.41389989852905,0.0003,128,113920,890,0.028506214093142575,nan,nan,nan,0.0,0
6,0.039796830759791846,nan,nan,0.0,0.04781467790265431,2.7843161864227124,0.0,0,426.6870849132538,0.0003,128,113920,890,0.028403604576173674,nan,nan,nan,0.0,0
7,0.03964154256947255,nan,nan,0.0,0.04744722558541244,2.777973675727844,0.0,0,429.1981739997864,0.0003,128,113920,890,0.028447192976454615,nan,nan,nan,0.0,0
8,0.039531764149498404,nan,nan,0.0,0.047224444962954255,2.7725653434067628,0.0,0,427.559602022171,0.0003,128,113920,890,0.02844312056371717,nan,nan,nan,0.0,0
9,0.039430215385522736,nan,nan,0.0,0.04701829974152399,2.767564106523321,0.0,0,426.6632831096649,0.0003,128,113920,890,0.02832450300868445,nan,nan,nan,0.0,0
10,0.03934296133478036,nan,nan,0.0,0.046835583021466655,2.7634066120962077,0.0,0,427.09439182281494,0.0003,128,113920,890,0.028292090314643567,nan,nan,nan,0.0,0
11,0.03928039817746436,nan,nan,0.0,0.046680693780438286,2.761022535870584,0.0,0,425.06245493888855,0.0003,128,113920,890,0.028076640450346645,nan,nan,nan,0.0,0
12,0.03923615980265516,nan,nan,0.0,0.046545414141054904,2.7599806890059053,0.0,0,425.7065198421478,0.0003,128,113920,890,0.028310605449013444,nan,nan,nan,0.0,0
13,0.03918356676115079,nan,nan,0.0,0.04640870622537109,2.7581390771973,0.0,0,428.72707748413086,0.0003,128,113920,890,0.02825948483210841,nan,nan,nan,0.0,0
14,0.03915803224434344,nan,nan,0.0,0.04630203378920475,2.758252441481258,0.0,0,426.9051458835602,0.00015,128,113920,890,0.028169110271702238,nan,nan,nan,0.0,0
15,0.039068289369009856,nan,nan,0.0,0.0461175674886516,2.753889807154623,0.0,0,427.70257234573364,0.00015,128,113920,890,0.028286582870976077,nan,nan,nan,0.0,0
