epoch,train_loss,train_acc,train_f1_macro,train_cls_loss,train_recon_loss,train_kl_loss,train_distill_loss,train_teacher_count,epoch_time_sec,lr,batch_size,train_samples_this_epoch,train_steps_this_epoch,val_loss,val_acc,val_f1_macro,val_teacher_argmax_accuracy,val_distill_loss,val_teacher_count
1,1.5978646675745647,nan,nan,0.0,1.5978646675745647,0.0,0.0,0,12.406649351119995,0.0003,256,2304,9,1.2019022445142011,nan,nan,nan,0.0,0
2,1.0413266155454848,nan,nan,0.0,1.0413266155454848,0.0,0.0,0,6.608947515487671,0.0003,256,2304,9,0.796431138957694,nan,nan,nan,0.0,0
3,0.6665213306744894,nan,nan,0.0,0.6665213306744894,0.0,0.0,0,6.375369310379028,0.0003,256,2304,9,0.47421024262885275,nan,nan,nan,0.0,0
4,0.3909887969493866,nan,nan,0.0,0.3909887969493866,0.0,0.0,0,6.335276365280151,0.0003,256,2304,9,0.24860947447898107,nan,nan,nan,0.0,0
5,0.22629866169558632,nan,nan,0.0,0.22629866169558632,0.0,0.0,0,6.34464693069458,0.0003,256,2304,9,0.13872144889065396,nan,nan,nan,0.0,0
6,0.15104395813412136,nan,nan,0.0,0.15104395813412136,0.0,0.0,0,6.360368967056274,0.0003,256,2304,9,0.09330114056339193,nan,nan,nan,0.0,0
7,0.11783765256404877,nan,nan,0.0,0.11783765256404877,0.0,0.0,0,6.372854948043823,0.0003,256,2304,9,0.07169789687925444,nan,nan,nan,0.0,0
8,0.09936694469716814,nan,nan,0.0,0.09936694469716814,0.0,0.0,0,6.36461067199707,0.0003,256,2304,9,0.05773154843153257,nan,nan,nan,0.0,0
9,0.08543251040909025,nan,nan,0.0,0.08543251040909025,0.0,0.0,0,6.5097291469573975,0.0003,256,2304,9,0.049209532431223536,nan,nan,nan,0.0,0
10,0.07673174970679814,nan,nan,0.0,0.07673174970679814,0.0,0.0,0,6.34669041633606,0.0003,256,2304,9,0.042928905195587286,nan,nan,nan,0.0,0
11,0.06963845839103062,nan,nan,0.0,0.06963845839103062,0.0,0.0,0,6.375504016876221,0.0003,256,2304,9,0.03833336060444315,nan,nan,nan,0.0,0
12,0.06463969416088527,nan,nan,0.0,0.06463969416088527,0.0,0.0,0,6.3594160079956055,0.0003,256,2304,9,0.03479480258487798,nan,nan,nan,0.0,0
13,0.060537745969163045,nan,nan,0.0,0.060537745969163045,0.0,0.0,0,6.374136209487915,0.0003,256,2304,9,0.0318837618424898,nan,nan,nan,0.0,0
14,0.05679920605487294,nan,nan,0.0,0.05679920605487294,0.0,0.0,0,6.359116077423096,0.0003,256,2304,9,0.029488923299785974,nan,nan,nan,0.0,0
15,0.054118790146377355,nan,nan,0.0,0.054118790146377355,0.0,0.0,0,6.362321138381958,0.0003,256,2304,9,0.02746281572197363,nan,nan,nan,0.0,0
16,0.05129609712296062,nan,nan,0.0,0.05129609712296062,0.0,0.0,0,6.533636808395386,0.0003,256,2304,9,0.025687439181096665,nan,nan,nan,0.0,0
17,0.04944105777475569,nan,nan,0.0,0.04944105777475569,0.0,0.0,0,6.3708813190460205,0.0003,256,2304,9,0.02418421093737964,nan,nan,nan,0.0,0
18,0.04712294331855244,nan,nan,0.0,0.04712294331855244,0.0,0.0,0,6.378404378890991,0.0003,256,2304,9,0.022836147337690457,nan,nan,nan,0.0,0
19,0.04488906802402602,nan,nan,0.0,0.04488906802402602,0.0,0.0,0,6.352123737335205,0.0003,256,2304,9,0.02162988952823452,nan,nan,nan,0.0,0
20,0.04338884891735183,nan,nan,0.0,0.04338884891735183,0.0,0.0,0,6.389685153961182,0.0003,256,2304,9,0.020612966588689333,nan,nan,nan,0.0,0
