epoch,train_loss,train_acc,train_f1_macro,train_cls_loss,train_recon_loss,train_kl_loss,train_distill_loss,train_teacher_count,epoch_time_sec,lr,batch_size,train_samples_this_epoch,train_steps_this_epoch,val_loss,val_acc,val_f1_macro,val_teacher_argmax_accuracy,val_distill_loss,val_teacher_count
1,0.3511782779585658,nan,nan,0.0,0.3511782779585658,0.0,0.0,0,27.538613080978394,0.0003,256,32550,127,0.027757305343465138,nan,nan,nan,0.0,0
2,0.04212749849154255,nan,nan,0.0,0.04212749849154255,0.0,0.0,0,18.544455528259277,0.0003,256,32550,127,0.013968913638463584,nan,nan,nan,0.0,0
3,0.030043808435361218,nan,nan,0.0,0.030043808435361218,0.0,0.0,0,17.87026047706604,0.0003,256,32550,127,0.009757366029806034,nan,nan,nan,0.0,0
4,0.024826219378728566,nan,nan,0.0,0.024826219378728566,0.0,0.0,0,18.793090343475342,0.0003,256,32550,127,0.007753183569118221,nan,nan,nan,0.0,0
5,0.021719663572592997,nan,nan,0.0,0.021719663572592997,0.0,0.0,0,18.326377153396606,0.0003,256,32550,127,0.006579811632312754,nan,nan,nan,0.0,0
6,0.019546606042605684,nan,nan,0.0,0.019546606042605684,0.0,0.0,0,17.735268115997314,0.0003,256,32550,127,0.005786421292371327,nan,nan,nan,0.0,0
7,0.01787774669607793,nan,nan,0.0,0.01787774669607793,0.0,0.0,0,17.88926076889038,0.0003,256,32550,127,0.005194931771926662,nan,nan,nan,0.0,0
8,0.016445037681521394,nan,nan,0.0,0.016445037681521394,0.0,0.0,0,17.716846227645874,0.0003,256,32550,127,0.004722291415817635,nan,nan,nan,0.0,0
9,0.015233534600908361,nan,nan,0.0,0.015233534600908361,0.0,0.0,0,17.67337918281555,0.0003,256,32550,127,0.004303303586459288,nan,nan,nan,0.0,0
10,0.014110241107290655,nan,nan,0.0,0.014110241107290655,0.0,0.0,0,17.277979850769043,0.0003,256,32550,127,0.003929437701940857,nan,nan,nan,0.0,0
11,0.01307227616528357,nan,nan,0.0,0.01307227616528357,0.0,0.0,0,17.5516095161438,0.0003,256,32550,127,0.003639878152258774,nan,nan,nan,0.0,0
12,0.012112962962018223,nan,nan,0.0,0.012112962962018223,0.0,0.0,0,17.562694787979126,0.0003,256,32550,127,0.0034411858008193074,nan,nan,nan,0.0,0
13,0.011248879083322259,nan,nan,0.0,0.011248879083322259,0.0,0.0,0,17.115877628326416,0.0003,256,32550,127,0.0032383315938134347,nan,nan,nan,0.0,0
14,0.010433100765263001,nan,nan,0.0,0.010433100765263001,0.0,0.0,0,17.02058506011963,0.0003,256,32550,127,0.0032868226675657176,nan,nan,nan,0.0,0
15,0.009673022540418182,nan,nan,0.0,0.009673022540418182,0.0,0.0,0,17.30801272392273,0.0003,256,32550,127,0.0033294656328977114,nan,nan,nan,0.0,0
16,0.008977212217145078,nan,nan,0.0,0.008977212217145078,0.0,0.0,0,17.603763341903687,0.00015,256,32550,127,0.003611156721048618,nan,nan,nan,0.0,0
17,0.008413567024422444,nan,nan,0.0,0.008413567024422444,0.0,0.0,0,18.69158625602722,0.00015,256,32550,127,0.003936746012900145,nan,nan,nan,0.0,0
