epoch,train_loss,train_acc,train_f1_macro,train_cls_loss,train_recon_loss,train_kl_loss,train_distill_loss,train_teacher_count,epoch_time_sec,lr,batch_size,train_samples_this_epoch,train_steps_this_epoch,val_loss,val_acc,val_f1_macro,val_teacher_argmax_accuracy,val_distill_loss,val_teacher_count
1,1.5679979920387268,nan,nan,0.0,1.564821219444275,0.0,0.31771856591512915,2048,14.077866792678833,0.0003,256,2627,10,1.1419589358331996,nan,nan,0.5831587767071638,0.3268854191451079,2387
2,0.9699749231338501,nan,nan,0.0,0.9669271826744079,0.0,0.3047793395275288,2062,7.156383991241455,0.0003,256,2627,10,0.7043214117214357,nan,nan,0.5906996229576875,0.30650246142092535,2387
3,0.5886988461017608,nan,nan,0.0,0.5858811885118484,0.0,0.28182117315307886,2027,7.175360441207886,0.0003,256,2627,10,0.38047969586405406,nan,nan,0.6191872643485546,0.28880504335526097,2387
4,0.3158057749271393,nan,nan,0.0,0.31312407553195953,0.0,0.26829257142543794,2000,6.960197448730469,0.0003,256,2627,10,0.187897725757106,nan,nan,0.7859237536656891,0.2558989856512316,2387
5,0.18361426442861556,nan,nan,0.0,0.1812424451112747,0.0,0.2370755624788718,2032,6.843129634857178,0.0003,256,2627,10,0.11028662192208188,nan,nan,0.7888563049853372,0.22849154408676234,2387
6,0.13039420619606973,nan,nan,0.0,0.12825244516134263,0.0,0.21417820015155764,2005,6.756008625030518,0.0003,256,2627,10,0.0795179893831154,nan,nan,0.8165060745705907,0.20530519036753286,2387
7,0.10536498799920083,nan,nan,0.0,0.10336657240986824,0.0,0.19987340100860126,2035,6.745782852172852,0.0003,256,2627,10,0.06173285161390965,nan,nan,0.8035190615835777,0.20041822037801216,2387
8,0.0892434187233448,nan,nan,0.0,0.08732261061668396,0.0,0.1921667457435539,2027,6.698724269866943,0.0003,256,2627,10,0.051626625244731786,nan,nan,0.8374528697109342,0.1897714092927994,2387
9,0.07920502349734307,nan,nan,0.0,0.07724008858203887,0.0,0.19647040542658334,2034,6.737427711486816,0.0003,256,2627,10,0.04460522238211039,nan,nan,0.841223292836196,0.1874127476364936,2387
10,0.0712587371468544,nan,nan,0.0,0.06931382343173027,0.0,0.1945415785403451,2035,6.740691661834717,0.0003,256,2627,10,0.03963789472724254,nan,nan,0.8093841642228738,0.19312408719107252,2387
11,0.06629591882228851,nan,nan,0.0,0.0643621750175953,0.0,0.19351692777406704,1998,7.022873878479004,0.0003,256,2627,10,0.03586048885306596,nan,nan,0.8320067029744449,0.18538553423783147,2387
12,0.061247396469116214,nan,nan,0.0,0.05941632241010666,0.0,0.18293152130499085,2022,6.755046606063843,0.0003,256,2627,10,0.032789842113033756,nan,nan,0.8357771260997068,0.18450965185481533,2387
13,0.057435905933380126,nan,nan,0.0,0.055750013515353206,0.0,0.1687832638372245,2034,6.821876049041748,0.0003,256,2627,10,0.030351450356034253,nan,nan,0.815668202764977,0.19478455129394384,2387
