epoch,train_loss,train_acc,train_f1_macro,train_cls_loss,train_recon_loss,train_kl_loss,train_distill_loss,train_teacher_count,epoch_time_sec,lr,batch_size,train_samples_this_epoch,train_steps_this_epoch,val_loss,val_acc,val_f1_macro,val_teacher_argmax_accuracy,val_distill_loss,val_teacher_count
1,0.2510022848844528,nan,nan,0.0,0.9612742274999618,0.7640510022640228,0.3042677216253758,2038,21.422970294952393,0.0003,128,2627,20,0.20823138188589346,nan,nan,0.6041055718475073,0.3028985149986733,2387
2,0.21621268838644028,nan,nan,0.0,0.8288246363401413,0.609621798992157,0.29107985382528556,2068,15.221615076065063,0.0003,128,2627,20,0.176756160828101,nan,nan,0.6455802262253875,0.28768178879915046,2387
3,0.1733461730182171,nan,nan,0.0,0.6240897178649902,1.4604933708906174,0.2722346860129217,2028,15.250923156738281,0.0003,128,2627,20,0.1298547055258419,nan,nan,0.7197318810222036,0.27250604750373947,2387
4,0.14943397790193558,nan,nan,0.0,0.5181870356202125,1.7218843042850493,0.267216326570237,2002,15.246747016906738,0.0003,128,2627,20,0.11633918926620976,nan,nan,0.7482195224130708,0.2600471972357942,2387
5,0.13327491134405137,nan,nan,0.0,0.4554686412215233,1.6881391108036041,0.2527199239274239,2026,15.350406885147095,0.0003,128,2627,20,0.10154329305573619,nan,nan,0.7737746124842899,0.24917831152340433,2387
6,0.11746467053890228,nan,nan,0.0,0.3801494464278221,1.9941490769386292,0.2483092456552428,2012,15.230499029159546,0.0003,128,2627,20,0.08060010674443993,nan,nan,0.7670716380393799,0.24341225167123853,2387
7,0.10000217333436012,nan,nan,0.0,0.2858356773853302,2.6147100210189818,0.2397706897852463,2036,15.35307002067566,0.0003,128,2627,20,0.0641212171880833,nan,nan,0.7989107666527021,0.23562531211933532,2387
8,0.08847793601453305,nan,nan,0.0,0.22739903703331948,2.925252079963684,0.23729576465676958,2029,15.37710952758789,0.0003,128,2627,20,0.05665784456701704,nan,nan,0.8336824465856724,0.22770486151542832,2387
9,0.08265408128499985,nan,nan,0.0,0.198245133459568,3.0703335642814635,0.2384231448115001,2037,15.271297693252563,0.0003,128,2627,20,0.05278638264029732,nan,nan,0.8253037285295349,0.2236250639149071,2387
10,0.07839716114103794,nan,nan,0.0,0.18200057744979858,3.0530277371406553,0.2366178434589278,2035,15.341093301773071,0.0003,128,2627,20,0.05007542887608925,nan,nan,0.8227901131126938,0.21989072975400206,2387
11,0.0753015287220478,nan,nan,0.0,0.17025452852249146,3.0429455041885376,0.2305943689514581,2012,15.311915159225464,0.0003,128,2627,20,0.047959372144449244,nan,nan,0.8374528697109342,0.2147653047877173,2387
12,0.0723512690514326,nan,nan,0.0,0.1592405267059803,3.0304248690605164,0.22331420971025334,2020,15.42404055595398,0.0003,128,2627,20,0.04607172469759519,nan,nan,0.8537913699204022,0.20853870713815661,2387
13,0.06962144337594509,nan,nan,0.0,0.14933667704463005,3.0236638307571413,0.205060747415414,2032,15.437362909317017,0.0003,128,2627,20,0.04453843555751539,nan,nan,0.8408043569333892,0.2062687818218486,2387
14,0.06786484457552433,nan,nan,0.0,0.14236696437001228,3.009657883644104,0.217718135354245,2063,15.445594549179077,0.0003,128,2627,20,0.04302239758181167,nan,nan,0.8516966904063679,0.19963274318077198,2387
15,0.06549718305468559,nan,nan,0.0,0.13384711965918542,2.9917776942253114,0.21171380775616538,2036,15.153636455535889,0.0003,128,2627,20,0.04179181759327878,nan,nan,0.8303309593632174,0.201524730420632,2387
16,0.0634164985269308,nan,nan,0.0,0.12615751400589942,2.9834097743034365,0.2039760865523402,2008,15.678762674331665,0.0003,128,2627,20,0.040465816607326024,nan,nan,0.8642647674905739,0.19000629990181764,2387
17,0.06155116017907858,nan,nan,0.0,0.11958430483937263,2.968202900886536,0.1970832210426363,2061,15.310011148452759,0.0003,128,2627,20,0.03944061377839053,nan,nan,0.8630079597821533,0.1855121347624036,2387
18,0.059947595745325086,nan,nan,0.0,0.11379599571228027,2.9552734971046446,0.19425736302282753,2050,15.294777393341064,0.0003,128,2627,20,0.0385062464283698,nan,nan,0.8789275240888144,0.1804101998973552,2387
19,0.058614243380725385,nan,nan,0.0,0.10891769081354141,2.9496256470680238,0.1888347085476278,2008,15.39566445350647,0.0003,128,2627,20,0.03785296164321534,nan,nan,0.886887306242145,0.17615645020188875,2387
20,0.057341551408171654,nan,nan,0.0,0.10413607843220234,2.939947712421417,0.1909785239127617,1997,16.172213077545166,0.0003,128,2627,20,0.03725013722886731,nan,nan,0.8935902806870549,0.17499700835685525,2387
