bundle,family,stage,model,code,message,path
pipeline,parity,01_cthmm,cthmm,cthmm_direct_decode_failed,"KeyError: ""C:\\Users\\ethan\\CodingSchool\\CMPE 188\\Majorana-MLQT-Project-EthanVu-CMPE188\\pipeline\\pipeline\\parity\\01_cthmm\\20260505_025817_cthmm_together_parity_family\\teacher_test.npz does not contain traces/windows/X/input array; keys=['sample_index', 'state_probs', 'confidence', 'hard_state', 'split', 'source_model']""",pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\cthmm_model.json
pipeline,parity,02_cnn_gru_independent,cnn_gru_independent,inference_failed,ValueError: Checkpoint does not contain tensor weights/state_dict,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru_teacher_assisted,inference_failed,ValueError: Checkpoint does not contain tensor weights/state_dict,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family
pipeline,parity,04_hsmm_using_cnn_embeddings,hsmm,hsmm_direct_decode_unavailable,Missing serialized HSMM model,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family
pipeline,parity,05_dmm,dmm,inference_failed,ValueError: Checkpoint does not contain tensor weights/state_dict,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family
pipeline,x_loop,01_cthmm,cthmm,cthmm_direct_decode_failed,"KeyError: ""C:\\Users\\ethan\\CodingSchool\\CMPE 188\\Majorana-MLQT-Project-EthanVu-CMPE188\\pipeline\\pipeline\\x_loop\\01_cthmm\\20260505_091222_cthmm_together_x_loop_family\\teacher_test.npz does not contain traces/windows/X/input array; keys=['sample_index', 'state_probs', 'confidence', 'hard_state', 'split', 'source_model']""",pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\cthmm_model.json
pipeline,x_loop,02_cnn_gru_independent,cnn_gru_independent,inference_failed,ValueError: Checkpoint does not contain tensor weights/state_dict,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru_teacher_assisted,inference_failed,ValueError: Checkpoint does not contain tensor weights/state_dict,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family
pipeline,x_loop,04_hsmm_using_cnn_embeddings,hsmm,hsmm_direct_decode_unavailable,Missing serialized HSMM model,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family
pipeline,x_loop,05_dmm,dmm,inference_failed,ValueError: Checkpoint does not contain tensor weights/state_dict,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family
