bundle,family,stage,model,source_file,resample_unit,n_predictions,state,metric,n_blocks,bootstrap_replicates,ci_low_2p5,bootstrap_median,ci_high_97p5,bootstrap_mean,bootstrap_std,block_min,block_max
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,contiguous_blocks,701480,0,mean_dwell_windows,343,200,310.5222752270735,385.26529402521146,468.3206218410313,386.8906174895981,42.76513193588394,1.0,2048.0
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,contiguous_blocks,701480,0,median_dwell_windows,343,200,311.9560495626822,386.7478134110787,470.5852040816327,387.73951895043734,44.39998341693705,1.0,2048.0
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,contiguous_blocks,701480,0,p90_dwell_windows,343,200,314.8121501457726,386.38381924198245,472.9906413994169,387.9489416909621,41.20069159138121,1.0,2048.0
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,contiguous_blocks,701480,1,mean_dwell_windows,278,200,8.598343510295573,10.965881633508813,13.523997446168684,10.98783055798615,1.394909791101998,1.4504132231404958,108.07142857142857
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,contiguous_blocks,701480,1,median_dwell_windows,278,200,6.018075539568345,8.011690647482014,10.339433453237412,8.171870503597123,1.1642170844196364,1.0,83.0
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,contiguous_blocks,701480,1,p90_dwell_windows,278,200,17.794415467625903,22.589028776978417,29.675386690647482,22.834762589928058,2.7718902982266616,2.0,232.20000000000016
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,contiguous_blocks,701480,0,mean_dwell_windows,343,200,2033.301749271137,2042.1443148688047,2048.0,2042.0661005830905,4.280650076435197,1023.5,2048.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,contiguous_blocks,701480,0,median_dwell_windows,343,200,2033.117857142857,2042.1443148688047,2048.0,2041.7332361516037,4.650706205872311,1023.5,2048.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,contiguous_blocks,701480,0,p90_dwell_windows,343,200,2038.479008746356,2045.131195335277,2048.0,2044.609925655977,2.6429246582770483,1064.0,2048.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,contiguous_blocks,701480,1,mean_dwell_windows,1,0,1.0,1.0,1.0,1.0,0.0,,
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,contiguous_blocks,701480,1,median_dwell_windows,1,0,1.0,1.0,1.0,1.0,0.0,,
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,contiguous_blocks,701480,1,p90_dwell_windows,1,0,1.0,1.0,1.0,1.0,0.0,,
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,701480,0,mean_dwell_windows,343,200,251.60864450140096,303.9991344736103,372.275283092523,308.6775534645364,32.181918222445994,1.1951219512195121,2048.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,701480,0,median_dwell_windows,343,200,228.16045918367348,292.89431486880466,354.1042274052478,292.1559329446064,32.617377883890825,1.0,2048.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,701480,0,p90_dwell_windows,343,200,325.09290816326535,402.49096209912534,463.5277915451896,398.87979446064145,34.98494874029025,2.0,2048.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,701480,1,mean_dwell_windows,317,200,5.72064630089962,6.375603150600817,7.092663247599913,6.371805080167141,0.33217528418428804,1.0,32.032786885245905
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,701480,1,median_dwell_windows,317,200,3.622555205047319,3.9274447949526814,4.239944794952682,3.931277602523659,0.17170709590254565,1.0,15.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,701480,1,p90_dwell_windows,317,200,10.485157728706627,11.741798107255523,13.37171135646688,11.8400141955836,0.7588268820089639,1.0,45.00000000000003
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,contiguous_blocks,70174,1,mean_dwell_windows,17,200,999.0757463630613,1515.0420619860847,1927.592981657179,1497.1560570971465,230.09175237437012,1.08,2048.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,contiguous_blocks,70174,1,median_dwell_windows,17,200,998.8235294117648,1480.4705882352941,1841.7058823529412,1480.125294117647,211.88175028550634,1.0,2048.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,contiguous_blocks,70174,1,p90_dwell_windows,17,200,1084.9060294117646,1480.7823529411767,1807.4660294117648,1492.157911764706,193.55143464904927,1.0,2048.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,contiguous_blocks,70174,0,mean_dwell_windows,23,200,1346.4297921036107,1667.6753319562072,1933.6198424359513,1650.090461816839,160.52698715380095,3.3980582524271843,2048.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,contiguous_blocks,70174,0,median_dwell_windows,23,200,1340.0994565217393,1692.5652173913045,1959.1369565217392,1671.2803260869564,158.28246503372446,3.0,2048.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,contiguous_blocks,70174,0,p90_dwell_windows,23,200,1432.0271739130435,1695.6608695652174,1933.663043478261,1680.7904782608696,144.18029506372045,6.0,2048.0
