bundle,family,stage,model,source_file,bin_index,bin_axis,bin_start,bin_end,n_predictions,state_0_occupancy,state_1_occupancy,switch_count,switch_rate,mean_confidence,median_confidence,mean_entropy_bits,n_sequences
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,0,sample_index,0.0,35073.95,35074,0.014512174260135713,0.9854878257398643,1012,0.02885410429675249,0.9919752159078954,0.9999992251396179,0.025042608710257822,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,1,sample_index,35073.95,70147.9,35074,0.0144836631122769,0.9855163368877231,1002,0.02856898468907707,0.9919235361691666,0.9999971985816956,0.025752804169329225,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,2,sample_index,70147.9,105221.84999999999,35074,0.0144836631122769,0.9855163368877231,1000,0.028511960767541984,0.991816312861482,0.999993622303009,0.02685053187997437,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,3,sample_index,105221.84999999999,140295.8,35074,0.0144836631122769,0.9855163368877231,1014,0.028911128218287573,0.9917744811920196,0.9999901056289673,0.027280103705400106,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,4,sample_index,140295.8,175369.75,35074,0.0144836631122769,0.9855163368877231,1014,0.028911128218287573,0.9917765654138756,0.9999921023845673,0.027216856918066974,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,5,sample_index,175369.75,210443.69999999998,35074,0.0144836631122769,0.9855163368877231,1004,0.028626008610612153,0.9918200898831196,0.9999921321868896,0.026814673653044893,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,6,sample_index,210443.69999999998,245517.64999999997,35074,0.014540685407994526,0.9854593145920054,1008,0.02874005645368232,0.99184349869223,0.9999948740005493,0.02635057728663519,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,7,sample_index,245517.64999999997,280591.6,35074,0.74063408792838,0.25936591207162,9461,0.2697516608217147,0.9968334091710971,0.9999994039535522,0.01401257909890545,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,8,sample_index,280591.6,315665.55,35074,1.0,0.0,0,0.0,0.9997266059407978,1.0,0.0022848997670100626,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,9,sample_index,315665.55,350739.5,35074,1.0,0.0,0,0.0,0.999916077858231,1.0,0.0007795521340035973,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,10,sample_index,350739.5,385813.44999999995,35074,1.0,0.0,0,0.0,0.9999435326627133,1.0,0.0005544542128848305,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,11,sample_index,385813.44999999995,420887.39999999997,35074,1.0,0.0,0,0.0,0.9999662550548507,1.0,0.0003526145308648949,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,12,sample_index,420887.39999999997,455961.35,35074,1.0,0.0,0,0.0,0.9999002295993865,1.0,0.0009460350749091176,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,13,sample_index,455961.35,491035.29999999993,35074,1.0,0.0,0,0.0,0.9996422199469618,1.0,0.0031249484466849375,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,14,sample_index,491035.29999999993,526109.25,35074,1.0,0.0,0,0.0,0.9993007534034387,1.0,0.005544121513308865,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,15,sample_index,526109.25,561183.2,35074,1.0,0.0,0,0.0,0.9999998115198965,1.0,1.9270456925603878e-06,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,16,sample_index,561183.2,596257.1499999999,35074,1.0,0.0,0,0.0,0.9999999924631751,1.0,1.0811194669851972e-07,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,17,sample_index,596257.1499999999,631331.1,35074,1.0,0.0,0,0.0,0.9999996718260774,1.0,3.363292131135812e-06,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,18,sample_index,631331.1,666405.0499999999,35074,1.0,0.0,0,0.0,0.9999996666531134,1.0,3.4712200120396666e-06,
pipeline,parity,01_cthmm,gpu_cthmm,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,19,sample_index,666405.0499999999,701479.0,35074,1.0,0.0,0,0.0,0.9999997564968256,1.0,2.775023668192396e-06,
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,0,sample_index,0.0,35073.95,35074,1.0,0.0,0,0.0,0.5073673185399737,0.5070162117481232,0.9998375996612894,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,1,sample_index,35073.95,70147.9,35074,1.0,0.0,0,0.0,0.5075903860527644,0.5072587728500366,0.9998285579089841,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,2,sample_index,70147.9,105221.84999999999,35074,0.9999714888521412,2.8511147858812794e-05,2,5.7023921535083966e-05,0.5078213339185147,0.5075191259384155,0.9998188932603729,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,3,sample_index,105221.84999999999,140295.8,35074,1.0,0.0,0,0.0,0.508059960429016,0.5077807903289795,0.9998085970822579,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,4,sample_index,140295.8,175369.75,35074,1.0,0.0,0,0.0,0.5083273637540842,0.5080561339855194,0.9997960376317087,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,5,sample_index,175369.75,210443.69999999998,35074,1.0,0.0,0,0.0,0.5086018604669262,0.5083341002464294,0.9997824901419126,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,6,sample_index,210443.69999999998,245517.64999999997,35074,1.0,0.0,0,0.0,0.5088880045143291,0.5086137354373932,0.9997676459090068,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,7,sample_index,245517.64999999997,280591.6,35074,1.0,0.0,0,0.0,0.5083915976323253,0.5082675218582153,0.9997930167796071,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,8,sample_index,280591.6,315665.55,35074,1.0,0.0,0,0.0,0.5084478603095511,0.5081013739109039,0.9997910925602895,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,9,sample_index,315665.55,350739.5,35074,1.0,0.0,0,0.0,0.5087533349297355,0.508370965719223,0.9997757064924899,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,10,sample_index,350739.5,385813.44999999995,35074,1.0,0.0,0,0.0,0.5090134447256651,0.508649468421936,0.9997623612371482,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,11,sample_index,385813.44999999995,420887.39999999997,35074,1.0,0.0,0,0.0,0.509231376826046,0.5088619887828827,0.9997509676443229,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,12,sample_index,420887.39999999997,455961.35,35074,1.0,0.0,0,0.0,0.5094291341357801,0.5090856552124023,0.9997406521293046,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,13,sample_index,455961.35,491035.29999999993,35074,1.0,0.0,0,0.0,0.5096551204816016,0.5093429982662201,0.9997285482615268,17537.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,14,sample_index,491035.29999999993,526109.25,35074,1.0,0.0,0,0.0,0.5092954426424366,0.509141743183136,0.9997473994293984,25844.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,15,sample_index,526109.25,561183.2,35074,1.0,0.0,0,0.0,0.5090357028952671,0.509008526802063,0.9997611660133663,35074.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,16,sample_index,561183.2,596257.1499999999,35074,1.0,0.0,0,0.0,0.5094185698693104,0.509392499923706,0.9997408883014401,35074.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,17,sample_index,596257.1499999999,631331.1,35074,1.0,0.0,0,0.0,0.5098173623448828,0.5097974836826324,0.9997192194497783,35074.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,18,sample_index,631331.1,666405.0499999999,35074,1.0,0.0,0,0.0,0.5102280109021263,0.5102230310440063,0.9996958085393536,35074.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,19,sample_index,666405.0499999999,701479.0,35074,1.0,0.0,0,0.0,0.5107068140347545,0.5107200145721436,0.99966735957043,35074.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0,sample_index,0.0,35073.95,35074,0.08060101499686377,0.9193989850031362,4128,0.11769737404841331,0.9116745239524441,0.9778532683849335,0.3026306491376177,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,1,sample_index,35073.95,70147.9,35074,0.08005930318754632,0.9199406968124537,4017,0.11453254640321615,0.9116716760216481,0.9768547713756561,0.3045168862719708,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,2,sample_index,70147.9,105221.84999999999,35074,0.08008781433540514,0.9199121856645949,4046,0.11535939326547487,0.9099454199798078,0.9739942252635956,0.31228491612005943,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,3,sample_index,105221.84999999999,140295.8,35074,0.08587557735074414,0.9141244226492559,4285,0.1221737518889174,0.9068490926947623,0.9700726270675659,0.32334694996183583,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,4,sample_index,140295.8,175369.75,35074,0.1038376005017962,0.8961623994982038,5082,0.14489778462064837,0.8960091529247624,0.9611328542232513,0.3544931541479375,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,5,sample_index,175369.75,210443.69999999998,35074,0.12154302332211894,0.878456976677881,5813,0.16574002794172155,0.8829932161473817,0.9477442502975464,0.3927498164187257,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,6,sample_index,210443.69999999998,245517.64999999997,35074,0.15809431487711695,0.841905685122883,7040,0.20072420380349557,0.865628162542852,0.9249092638492584,0.4429345251855212,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,7,sample_index,245517.64999999997,280591.6,35074,0.6516793066088841,0.34832069339111593,7106,0.20260599321415335,0.8441758121868805,0.8954527974128723,0.5039525653349365,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,8,sample_index,280591.6,315665.55,35074,0.8534527000057023,0.14654729999429777,5274,0.15037208108801642,0.8630789124215215,0.9204376637935638,0.4570504674333275,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,9,sample_index,315665.55,350739.5,35074,0.8736956149854593,0.1263043850145407,4718,0.1345194309012631,0.8721498203684084,0.9321970641613007,0.43182982456300084,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,10,sample_index,350739.5,385813.44999999995,35074,0.8837885613274791,0.11621143867252096,4404,0.1255666752202549,0.8790338508414728,0.9404833912849426,0.4117917651574363,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,11,sample_index,385813.44999999995,420887.39999999997,35074,0.8975309345954268,0.10246906540457319,4006,0.11421891483477319,0.8830939961239707,0.9448605179786682,0.4009827482249846,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,12,sample_index,420887.39999999997,455961.35,35074,0.9024063408792838,0.0975936591207162,3826,0.10908676189661563,0.8890677330658701,0.9520195126533508,0.38279710409330536,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,13,sample_index,455961.35,491035.29999999993,35074,0.9154929577464789,0.08450704225352113,3460,0.09865138425569527,0.8976349964386967,0.9595972299575806,0.35867470033847976,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,14,sample_index,491035.29999999993,526109.25,35074,0.9552660090095227,0.04473399099047728,1880,0.053602486242978926,0.94172709195822,0.9956517815589905,0.20649343107114881,25844.0
