bundle,family,stage,model,source_file,metric,n_bins,mean_across_bins,min_bin_value,max_bin_value,range_max_minus_min,std_across_bins,relative_range_over_mean_abs
individual,parity,cthmm,gpu_cthmm,individual\individual\parity\cthmm\20260504_230557_cthmm_together_parity_run\teacher_predictions.npz,state_0_occupancy,20,0.6421052631578947,0.0144836631122769,1.0,0.9855163368877231,0.4759492669735072,1.534820524661208
individual,parity,cthmm,gpu_cthmm,individual\individual\parity\cthmm\20260504_230557_cthmm_together_parity_run\teacher_predictions.npz,state_1_occupancy,20,0.35789473684210527,0.0,0.9855163368877231,0.9855163368877231,0.4759492669735072,2.753648588362756
individual,parity,cthmm,gpu_cthmm,individual\individual\parity\cthmm\20260504_230557_cthmm_together_parity_run\teacher_predictions.npz,mean_confidence,20,0.9969087212345699,0.9917736417086739,0.9999999924852672,0.008226350776593283,0.0038726313144070005,0.008251859574872398
individual,parity,cthmm,gpu_cthmm,individual\individual\parity\cthmm\20260504_230557_cthmm_together_parity_run\teacher_predictions.npz,mean_entropy_bits,20,0.010640048179179837,1.0779515297851533e-07,0.027288007080063282,0.027287899284910305,0.012331755133825678,2.564640575435226
individual,parity,cthmm,gpu_cthmm,individual\individual\parity\cthmm\20260504_230557_cthmm_together_parity_run\teacher_predictions.npz,switch_rate,20,0.022712627947423944,0.0,0.25341430730191317,0.25341430730191317,0.056037559923679,11.157419030881247
individual,parity,hsmm,gpu_hsmm_duration,individual\individual\parity\hsmm\20260504_233338_hsmm_together_parity_run\hsmm_predictions.npz,state_0_occupancy,20,0.627800347393235,0.0,1.0,1.0,0.4770381088060056,1.5928630880059558
individual,parity,hsmm,gpu_hsmm_duration,individual\individual\parity\hsmm\20260504_233338_hsmm_together_parity_run\hsmm_predictions.npz,state_1_occupancy,20,0.37219965260676496,0.0,1.0,1.0,0.4770381088060056,2.6867300734869746
individual,parity,hsmm,gpu_hsmm_duration,individual\individual\parity\hsmm\20260504_233338_hsmm_together_parity_run\hsmm_predictions.npz,switch_rate,20,0.011748317594756977,0.0,0.20473328324567994,0.20473328324567994,0.04591615860505341,17.42660441330323
individual,x_loop,cthmm,gpu_cthmm,individual\individual\x_loop\cthmm\20260505_014342_cthmm_together_x_loop_run\teacher_predictions.npz,state_0_occupancy,20,0.5050913978494626,0.03752688172043011,0.7529032258064516,0.7153763440860216,0.20755230974231312,1.4163304842091813
individual,x_loop,cthmm,gpu_cthmm,individual\individual\x_loop\cthmm\20260505_014342_cthmm_together_x_loop_run\teacher_predictions.npz,state_1_occupancy,20,0.49490860215053767,0.2470967741935484,0.9624731182795699,0.7153763440860216,0.20755230974231312,1.445471630473749
