left_bundle,right_bundle,family,left_model,right_model,left_stage,right_stage,n_aligned,alignment,hard_state_agreement,left_source_file,right_source_file,js_divergence_bits,mean_l1_probability_distance,bundle
pipeline,pipeline,parity,gpu_cthmm,cnn_gru,01_cthmm,02_cnn_gru_independent,701480,sample_index,0.6421066887152876,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,0.30526150023396004,0.9875402632945754,pipeline
pipeline,pipeline,parity,gpu_cthmm,cnn_gru,01_cthmm,03_cnn_gru_teacher_assisted,701480,sample_index,0.9139448024177453,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.0796084698523619,0.24570883793270465,pipeline
pipeline,pipeline,parity,gpu_cthmm,gpu_hsmm_duration,01_cthmm,04_hsmm_using_cnn_embeddings,70174,sample_index,0.9852366973522957,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,parity,gpu_cthmm,dmm,01_cthmm,05_dmm,701480,sample_index,0.9940711068027599,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.004046764597761163,0.012396631895294294,pipeline
pipeline,pipeline,parity,cnn_gru,cnn_gru,02_cnn_gru_independent,03_cnn_gru_teacher_assisted,701480,sample_index,0.6320137423732679,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,0.2139123882694957,0.8283829190859606,pipeline
pipeline,pipeline,parity,cnn_gru,gpu_hsmm_duration,02_cnn_gru_independent,04_hsmm_using_cnn_embeddings,70174,sample_index,0.6314731952005016,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,parity,cnn_gru,dmm,02_cnn_gru_independent,05_dmm,701480,sample_index,0.6369162342475908,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.3079802718513135,0.992575487187884,pipeline
pipeline,pipeline,parity,cnn_gru,gpu_hsmm_duration,03_cnn_gru_teacher_assisted,04_hsmm_using_cnn_embeddings,70174,sample_index,0.9082708695528259,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,,,pipeline
pipeline,pipeline,parity,cnn_gru,dmm,03_cnn_gru_teacher_assisted,05_dmm,701480,sample_index,0.9190867879340823,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.07626720032167747,0.23646433031011638,pipeline
pipeline,pipeline,parity,gpu_hsmm_duration,dmm,04_hsmm_using_cnn_embeddings,05_dmm,70174,sample_index,0.988685268047995,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,,,pipeline
