bundle,family,stage,model,bin,n_bin_predictions,sample_index_min,sample_index_max,source_file,state_0_occupancy,state_1_occupancy,mean_confidence,mean_entropy_bits,switch_rate
pipeline,parity,01_cthmm,gpu_cthmm,0,70148,0,70147,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,0.014497918686206307,0.9855020813137937,0.9919493760385311,0.025397706439793527,0.02899625073060858
pipeline,parity,01_cthmm,gpu_cthmm,1,70148,70148,140295,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,0.0144836631122769,0.9855163368877231,0.9917953970267508,0.027065317792687237,0.028967739176301195
pipeline,parity,01_cthmm,gpu_cthmm,2,70148,140296,210443,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,0.0144836631122769,0.9855163368877231,0.9917983276484976,0.027015765285555934,0.028967739176301195
pipeline,parity,01_cthmm,gpu_cthmm,3,70148,210444,280591,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,0.37758738666818725,0.6224126133318127,0.9943384539316635,0.020181578192770323,0.01831867364249362
pipeline,parity,01_cthmm,gpu_cthmm,4,70148,280592,350739,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,1.0,0.0,0.9998213418995143,0.0015322259505068296,0.0
pipeline,parity,01_cthmm,gpu_cthmm,5,70148,350740,420887,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,1.0,0.0,0.999954893858782,0.0004535343718748628,0.0
pipeline,parity,01_cthmm,gpu_cthmm,6,70148,420888,491035,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,1.0,0.0,0.9997712247731741,0.0020354917607970278,0.0
pipeline,parity,01_cthmm,gpu_cthmm,7,70148,491036,561183,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,1.0,0.0,0.9996502824616675,0.0027730242795007123,0.0
pipeline,parity,01_cthmm,gpu_cthmm,8,70148,561184,631331,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,1.0,0.0,0.9999998321446262,1.735702038917166e-06,0.0
pipeline,parity,01_cthmm,gpu_cthmm,9,70148,631332,701479,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz,1.0,0.0,0.9999997115749695,3.123121840116031e-06,0.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,0,70148,0,96243,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,0.9999857444260706,1.4255573929406397e-05,0.5076151326032758,0.9998274408729391,2.8511554307383067e-05
pipeline,parity,02_cnn_gru_independent,cnn_gru,1,70148,10764,159349,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,1.0,0.0,0.5080158407341328,0.9998102274477578,0.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,2,70148,17940,222179,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,1.0,0.0,0.508457754057755,0.9997890245694053,0.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,3,70148,25116,310413,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,1.0,0.0,0.5085169573279384,0.9997856940076979,0.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,4,70148,261924,373151,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,1.0,0.0,0.508714933586262,0.9997776151877026,0.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,5,70148,269100,436349,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,1.0,0.0,0.5091404306624834,0.9997555605102947,0.0
pipeline,parity,02_cnn_gru_independent,cnn_gru,6,70148,276276,502319,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz,1.0,0.0,0.5095371786888835,0.9997347714477676,0.0
