bundle,family,stage,model,state,n_dwell_segments,mean_dwell_windows,median_dwell_windows,p90_dwell_windows,max_dwell_windows,physical_dt,mean_dwell_physical,median_dwell_physical,source_file
pipeline,parity,01_cthmm,gpu_cthmm,0,3692,122.0,1.0,1.0,446733.0,nan,nan,nan,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz
pipeline,parity,01_cthmm,gpu_cthmm,1,3692,68.0,68.0,135.0,135.0,nan,nan,nan,pipeline\pipeline\parity\01_cthmm\20260505_025817_cthmm_together_parity_family\teacher_predictions.npz
pipeline,parity,02_cnn_gru_independent,cnn_gru,0,446732,1.5702456954057467,2.0,2.0,2.0,nan,nan,nan,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz
pipeline,parity,02_cnn_gru_independent,cnn_gru,1,1,1.0,1.0,1.0,1.0,nan,nan,nan,pipeline\pipeline\parity\02_cnn_gru_independent\20260505_031909_cnn_gru_together_parity_family\predictions_cnn_independent.npz
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,0,328795,1.3483964172204566,1.0,2.0,2.0,nan,nan,nan,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,1,140367,1.8389934956221905,2.0,2.0,2.0,nan,nan,nan,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,0,31395,1.4114667940754897,1.0,2.0,2.0,nan,nan,nan,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,1,13279,1.947511107764139,2.0,2.0,2.0,nan,nan,nan,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz
pipeline,parity,05_dmm,dmm,0,319688,1.3975594955081203,1.0,2.0,2.0,nan,nan,nan,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz
pipeline,parity,05_dmm,dmm,1,127659,1.9951354781096515,2.0,2.0,2.0,nan,nan,nan,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz
